iter	Passed	Remaining
0	0	67
1	1	63
2	1	60
3	2	55
4	2	55
5	3	54
6	4	53
7	4	52
8	5	51
9	5	50
10	6	49
11	6	48
12	7	47
13	7	47
14	8	46
15	8	45
16	9	45
17	9	44
18	10	44
19	10	43
20	11	43
21	11	42
22	12	41
23	13	41
24	13	40
25	14	39
26	14	39
27	15	38
28	15	38
29	16	37
30	16	37
31	17	36
32	17	36
33	18	35
34	18	35
35	19	34
36	19	33
37	20	33
38	21	32
39	21	32
40	22	32
41	22	31
42	23	30
43	23	30
44	24	29
45	24	29
46	25	28
47	26	28
48	26	27
49	27	27
50	27	26
51	28	26
52	28	25
53	29	24
54	29	24
55	30	23
56	30	23
57	31	22
58	31	22
59	32	21
60	33	21
61	33	20
62	34	20
63	34	19
64	35	19
65	35	18
66	36	17
67	36	17
68	37	16
69	38	16
70	39	16
71	40	15
72	40	15
73	41	14
74	41	13
75	42	13
76	42	12
77	43	12
78	44	11
79	44	11
80	45	10
81	45	10
82	46	9
83	46	8
84	47	8
85	48	7
86	48	7
87	49	6
88	49	6
89	50	5
90	50	5
91	51	4
92	51	3
93	52	3
94	53	2
95	53	2
96	54	1
97	55	1
98	55	0
99	56	0
